EnsemblID	patMutRate	matMutRate	pat_quant	mat_quant	male_CPM_log2geoMean	female_CPM_log2geoMean
ENSG00000151726	5.62066155186465e-05	1.40516538796616e-05	2	2	2.15942330960152	2.4872689600756
ENSG00000123983	8.66090098115635e-05	1.23727156873662e-05	4	4	5.38329006617917	5.63212704935575
ENSG00000197142	3.71298616912652e-05	1.85649308456326e-05	1	1	0.240814823310516	0.161895294748435
ENSG00000164398	1.60663217762925e-05	0	1	1	0.52600590776724	0.53339059239721
ENSG00000166743	1.32367929897944e-05	0	1	1	0.0682332493703631	0.0815667118334368
ENSG00000183747	2.76380520700901e-05	2.76380520700901e-05	1	1	0.0597591178892541	0
ENSG00000066813	0	0	1	1	0	0.0227232188101007
ENSG00000005187	3.21053054017176e-05	0	2	1	1.00800828467775	0.729653472936764
ENSG00000215009	4.05761817812944e-05	0	1	1	0.119254643971962	0
ENSG00000183549	3.14950710213852e-05	0	1	1	0	0.00849790933080691
ENSG00000173124	0	0	1	1	0.179870665367529	0.377931248854837
ENSG00000154930	3.79175672088879e-05	0	1	1	0.197991799541534	0.0852743063343331
ENSG00000131069	0	1.79494543365882e-05	2	2	1.41047475914283	2.58971499759361
ENSG00000111058	2.46715598593721e-05	6.16788996484303e-06	1	1	0.316175536174824	0.27521941222814
ENSG00000143632	0.000267881060809001	0	1	1	0.0233915952581653	0.12466598300215
ENSG00000107796	0	0	2	2	2.51274572545624	1.87712291611674
ENSG00000075624	5.37331076542812e-05	2.68665538271406e-05	4	4	11.303926634208	11.1801775606422
ENSG00000169067	0	0	1	1	0	0
ENSG00000159251	0.00018807598269701	0	3	3	3.95100655072721	3.54401023377804
ENSG00000184009	6.9309675630718e-05	0	4	4	12.1853436654912	12.0282755531088
ENSG00000163017	0.000109393232205368	0	4	4	7.33548904479683	6.58472872162223
ENSG00000136518	3.91941679078153e-05	0	4	4	5.87108309482569	7.13626128737251
ENSG00000077080	0	0	1	1	0.0850662511402267	0.125690913375115
ENSG00000148156	0	0.000714796283059328	1	1	0.0572487862147743	0.158559571825712
ENSG00000117148	4.1850343172814e-05	0	2	3	2.51285311574465	3.07258323102929
ENSG00000072110	4.75072923693787e-05	0	4	4	6.36592365434827	5.53457193710482
ENSG00000077522	4.09806673701681e-05	0	2	2	1.30498049855694	2.34164855372153
ENSG00000248746	0.000118231260345235	5.91156301726176e-05	1	1	0.0299620030324964	0.198072598968304
ENSG00000130402	3.57896997244193e-05	1.19298999081398e-05	4	4	5.50463433651522	5.23742703214908
ENSG00000131966	2.81452293836195e-05	0	4	4	6.52894094311899	6.73882830689541
ENSG00000138107	2.45260343855002e-05	0	4	4	5.22766383453108	5.15340477918737
ENSG00000115073	0.00012370113805047	0	4	3	4.74073393138963	4.2968078382359
ENSG00000138071	4.60553585409662e-05	6.90830378114494e-05	4	4	5.16670726486819	5.47967881049229
ENSG00000115091	2.7590773645293e-05	0	4	4	5.08626917693769	5.89027060928502
ENSG00000133627	3.20112679663241e-05	1.06704226554414e-05	4	4	5.21551622205611	4.8604724201222
ENSG00000106526	0	0	2	1	0.815753486723172	0.7255001391698
ENSG00000101442	0.00012474531165537	4.15817705517901e-05	3	3	3.67254859644367	3.82419560673539
ENSG00000075089	4.68077139112526e-05	2.34038569556263e-05	4	4	4.63163321745978	4.87369431566797
ENSG00000113812	0	0	3	4	4.35648759152134	4.83138474681994
ENSG00000169717	0	0	1	1	0	0
ENSG00000184378	0	0	2	2	0.646731192187325	1.38563068281985
ENSG00000115170	1.4322953966026e-05	0	3	2	2.90483587506972	2.7053020863364
ENSG00000135503	4.41208912420031e-05	0	4	3	5.23699016697364	4.4816931386408
ENSG00000123612	1.02427532520742e-05	0	2	2	0.582463116270131	1.26172993375898
ENSG00000121989	4.63692849856255e-05	0	2	2	2.57937381218237	2.22656809429691
ENSG00000114739	5.10178052140197e-05	2.55089026070098e-05	3	3	3.53108333148265	4.35626230361716
ENSG00000139567	6.07865783235062e-05	0	1	1	0.20445331215123	0.267498028399197
ENSG00000243989	0	0	3	3	3.45051748102441	3.6677115168096
